business_name,idstd,owner_age,owner_female,owner_education,hh_vulnerability,sector_experience,mgmt_practices_index,social_capital,push_entrepreneur,employment_regular,revenue_regular_usd,business_age,sector_food,location_type,formality_status,technology_index,operating_intensity,recordkeeping_index,has_loan,collateral_proxy,income_stable,financial_literacy_proxy,regulatory_barriers,institutional_quality,market_infrastructure,performance_index,formalization_readiness,resilience_proxy,efficiency_score,equity_score,sustainability_score,dominant_objective
Perniagaan Murah 013,1375203,63,0,5,0.7197872624682846,32,0.6344814959190118,0.9679474021662787,0.2951278098056874,5,886.5991349274947,6,0,1,0,0.15436944140175513,0.5344471479745777,0.45079590758110066,1,0.8803163275866162,0.8315783501585622,0.2775272990828591,0.41124433105266367,0.5675754966383827,0.9343264733941499,0.9024939490393856,0.7784525742602438,0.366645263920928,43.1753,33.7915,41.1741,Efficiency
Perniagaan Indah 014,1391335,53,1,4,0.3475799043575002,12,0.769467274634464,0.46413118779765605,0.9327008166678302,2,430.08612342965927,26,1,3,0,0.8882671561009182,0.45478605539006756,0.3599776654864024,0,0.8782887042540134,0.4145668536582895,0.9876147580460622,0.45300074812727,0.3510281381837179,0.07377687786648623,0.117387118325472,0.4518202629783198,0.024438979042209152,40.6605,53.9032,45.2639,Equity
Restoran Maju 015,1216023,39,1,4,0.9948498070617926,35,0.090658493659171,0.6413244410671577,0.6239623909952267,5,167.48979570830073,7,1,1,0,0.3976916055144728,0.1711579622365812,0.8637782567577894,0,0.7516593633736827,0.05222903250064714,0.4013457241932179,0.27774130788396456,0.22213305387683013,0.620923504684511,0.03301053188524006,0.2227758419844974,0.4851507334204429,9.3861,79.794,56.7122,Equity
Kedai Runcit Sejahtera 016,1241090,69,0,2,0.3023985198289777,36,0.2972585469036878,0.37306214685843897,0.7966421194517882,3,283.1693609018031,7,0,2,0,0.6988352115597309,0.5061009888507981,0.29758533532229914,0,0.726003224712066,0.08267819483720396,0.9851056796298975,0.09021269219848005,0.37121302300647874,0.07665523697159138,0.36626491416574014,0.28152798669696233,0.14342606685645898,26.6902,32.0959,59.2562,Sustainability
Bengkel Makmur 017,1267221,57,0,4,0.23873844536259992,38,0.6501105997281013,0.6363262260197279,0.0032829202882154185,3,372.12048613765114,25,0,3,0,0.5067205687715085,0.8344287285676157,0.6527897507983714,0,0.2002371782920207,0.7710942035124245,0.5457363248328697,0.34852871720090073,0.17692485448240114,0.5932913318983153,0.5637945928647129,0.06289031263405864,0.4505211074747031,47.939,19.5495,62.2845,Sustainability
Restoran Jaya 018,1264820,43,1,6,0.5678905483054052,28,0.13673082591560848,0.7200989956256877,0.4503196008753605,4,448.41596521763955,16,0,2,0,0.7933392973884418,0.5092555407889644,0.39860792044162585,0,0.44267828670578646,0.2125250792424197,0.7101451743880758,0.6114129539258452,0.9814476501574148,0.6036687445656097,0.9190884355351352,0.3039357059758069,0.45880745425704506,23.4801,52.7156,66.4978,Sustainability
Kedai Murah 019,1200769,29,0,4,0.8351261633432041,13,0.6775982107884423,0.6246555252885504,0.8709490863199558,3,860.3272790616292,19,1,3,0,0.045282551021172845,0.2174218125799532,0.3886747302935323,1,0.09191015300898508,0.8563240073646294,0.2205078517663881,0.37147074157199256,0.34864120181511904,0.3897541831298772,0.9115473765383433,0.6518556310084198,0.5103401006673669,34.7178,43.405,26.8715,Equity
Kedai Runcit Damai 020,1259735,51,1,3,0.192518871819798,12,0.05902671082042299,0.5145629412161977,0.3382332832327213,2,250.72843021635205,9,1,2,0,0.3236867813393146,0.6858886446704437,0.9328090984939429,1,0.5914891975108536,0.2523805526981667,0.987273293326978,0.2350888452880041,0.5569336555211398,0.05204276990261347,0.13960412229009378,0.7342488884507545,0.939360356784086,24.6402,52.7008,50.1283,Equity
Warung Bahagia 021,1394027,34,1,4,0.7094027697193312,22,0.33493155295962773,0.30011079762523285,0.726551176872281,5,564.2828943311193,1,1,1,0,0.04748668880205398,0.8697990291038897,0.6974472801239913,1,0.2111438131487149,0.25918620889989175,0.00859518935390069,0.1983834884844622,0.9966978742341837,0.8210472851148297,0.7869625757554872,0.5484984990167773,0.6293344044946612,41.302,68.3761,37.2795,Equity
Perniagaan Bahagia 022,1264925,56,1,6,0.061406583141121684,2,0.8467111223325191,0.6438456761362233,0.6576748251286455,3,900.1992605969892,18,0,4,0,0.9416997662614799,0.34513149647279395,0.5382062486372204,0,0.2985292486440899,0.09786238821590709,0.8566502898360445,0.4073552708363335,0.5189141388838686,0.3370535502173315,0.9344427367100674,0.8870626426289994,0.039391681899790476,43.9871,32.4563,40.3497,Efficiency
Restoran Damai 023,1399041,39,0,3,0.9189347431104973,29,0.7742912903811602,0.9084288952613628,0.15221836635429942,3,928.2240598829335,7,1,1,0,0.1701510684563834,0.0710663399776934,0.17462098096383538,0,0.8156360540049645,0.14045348400728974,0.688554962969596,0.9680977945269098,0.31066623701229734,0.05977872261792849,0.8335236052001048,0.16853892809311555,0.734040748135652,33.8488,51.7574,50.5773,Equity
Gerai Jaya 024,1205311,22,1,4,0.08107491614729878,13,0.6447607152270879,0.006912591169667359,0.7749038272544051,2,146.67921294405144,28,0,4,0,0.4245649646673527,0.914842637520631,0.1375924958251198,0,0.985115316128962,0.12717876024714037,0.659204495525834,0.6306535272343021,0.614014127327288,0.05300525044548554,0.41422612892634725,0.5295938577522995,0.6892702699043548,48.1294,43.243,47.4107,Efficiency
Kedai Runcit Maju 025,1303355,56,0,6,0.9142313763441625,35,0.8704584166251012,0.13392902742969037,0.11252679031279889,1,215.5245867295337,18,1,3,0,0.6414461478322556,0.6822193150224029,0.19364766461129956,0,0.37976771480421,0.042175502858243785,0.3152827853535475,0.10557753458240693,0.817167047916556,0.08753800340891627,0.20775138032262375,0.12087820265474558,0.783699265440094,48.5512,36.5693,75.4188,Sustainability
Bengkel Setia 026,1384779,59,1,2,0.4908072494527028,13,0.7092695441722005,0.1197731584998557,0.7279140965719407,1,451.8181123096752,10,1,2,0,0.46150124857874153,0.9914391551715818,0.6269365664954317,0,0.7943397566426504,0.2368064803009814,0.18605413554234662,0.13802100131874528,0.6164443425363736,0.8658088766615553,0.9155793092899468,0.2572200645163075,0.3761575938775432,55.1529,69.6323,39.4948,Equity
Gerai Bahagia 027,1285305,27,1,4,0.44809111279591984,34,0.519375105210803,0.9232053028928541,0.9909683367790943,2,1084.7811265356547,27,1,2,0,0.536542324266033,0.6945438466186822,0.05601867749477585,0,0.13199891560524735,0.022485845296360663,0.6237884816758696,0.5954045765990033,0.2203562912494874,0.47383764069133494,0.5320197570469333,0.9222823382038381,0.9116817970407908,46.3373,57.9236,74.3121,Sustainability
Perniagaan Bahagia 028,1359765,59,1,4,0.9733070795003765,19,0.9797175003857866,0.6627476889626147,0.9579814318117628,3,781.3871149837323,20,1,1,0,0.20401755882176542,0.12421209758795981,0.46409934239193495,0,0.5288813720689289,0.7035142478113396,0.915221562682926,0.24817763909242796,0.19246507705183835,0.8727927331222168,0.2531525006928954,0.9538610469345585,0.6799287629391048,40.2632,78.9323,42.8086,Equity
Gerai Jaya 029,1330608,63,1,4,0.9903841776982191,9,0.6948560797893195,0.9517881064701506,0.8002417430570047,2,438.4904217045905,2,0,4,0,0.06702904949822786,0.4331446475243126,0.4597496265170642,0,0.5512198794051778,0.6162626892894417,0.250501998678481,0.832766963069304,0.7171804294655862,0.7488213739197354,0.32352013607312224,0.14434625958903924,0.16413238989787182,37.8498,79.6154,14.3551,Equity
Kedai Runcit Indah 030,1356730,42,1,3,0.650178125961012,31,0.6013671768130031,0.5828132732124283,0.5345174242297022,2,2059.327765507066,11,1,4,0,0.2573883863862306,0.0428631259387835,0.9178048836993432,0,0.8882158183074761,0.1721859846356666,0.806348453924677,0.06937672458997768,0.8488645380905079,0.014058599704485308,0.561726633753453,0.4288824600227842,0.6945588833510562,38.1583,71.0071,54.3823,Equity
Kedai Runcit Damai 031,1284478,59,0,3,0.1271192918570485,33,0.40887056095356467,0.4617328971592537,0.67482457582074,1,289.0058048837255,18,0,3,0,0.3171565089630086,0.34149428902216017,0.36992286837399724,0,0.24139323155901604,0.862161436182286,0.08848651400940422,0.23625429413622767,0.699153616118166,0.30479091809959835,0.40621075911699567,0.7537578343646814,0.42486186760450384,25.1537,20.0848,50.1821,Sustainability
Gerai Murah 032,1322537,30,1,4,0.5061700856552025,27,0.9024124985790504,0.7923429118143624,0.7281083903440927,4,924.0080181069204,11,0,2,0,0.41581388025543786,0.7852932662936039,0.8965946635824124,0,0.06420775453417282,0.28567064216060567,0.24302196347397187,0.6347530112268793,0.09324847300257888,0.5223394662117697,0.04002705977456322,0.6746531829947546,0.3997268193307689,59.0807,60.2468,48.8744,Equity
Bengkel Bahagia 033,1349503,65,1,3,0.5291631009556624,2,0.2957090956049928,0.16094226747522455,0.008401524278238703,3,853.030521816608,14,0,4,0,0.2959501700627055,0.5556287206148324,0.6150816437323074,0,0.34987655187750544,0.5356775163658668,0.05520499930474354,0.6566452014990074,0.32225081805215505,0.02981652345876984,0.5743811461948635,0.6929432965284835,0.07465173667559277,33.3406,66.1665,15.5776,Equity
Warung Murah 034,1330523,27,0,4,0.5144464281353097,15,0.009219594210902682,0.3813381163173214,0.10236622095295644,5,1193.1916099316823,13,1,4,0,0.03581096780486659,0.4589410087890218,0.3900980442327494,0,0.7462063251053901,0.8110222222978004,0.3821848944308879,0.7135236122715488,0.6855088238706902,0.9583149575364329,0.4058446823099341,0.6095635594125166,0.6724501191948652,24.9559,30.5779,32.8559,Sustainability
Kedai Runcit Jaya 035,1202747,48,0,3,0.5694918385200097,19,0.19674052243235995,0.4662742405342237,0.5970591320788624,2,2198.1989045545174,1,1,2,0,0.09460796514950154,0.8478428908892891,0.5265824322520068,0,0.045996540085627924,0.36917087331240084,0.6962594041566392,0.8668296984914692,0.7110482694791063,0.909406487542231,0.47344971720466456,0.18633916765226077,0.34470102075825415,51.4388,37.7797,28.3753,Efficiency
Warung Murah 036,1323855,49,1,1,0.01872471379439067,31,0.10951749194235916,0.2984583945121182,0.0065345401429091066,1,342.28870069892747,25,0,1,0,0.6738183594271665,0.17710393080443332,0.09422402652102935,0,0.14610723812867787,0.2510415421719414,0.4957696248118991,0.9689443902677193,0.4641642628849645,0.23588693151388707,0.7526705029651957,0.791123602218096,0.566922560759315,11.7287,55.749,67.2104,Sustainability
Kedai Runcit Bahagia 037,1390222,29,0,6,0.7112272814705024,16,0.31899377417307206,0.37128561240847846,0.9089056507734973,4,108.84773996114156,10,0,2,0,0.06315334203494549,0.5386235654920078,0.8896195839528449,0,0.04537657589124622,0.8606712987662913,0.5378491936729057,0.20089600172740407,0.298069129026297,0.36587715633181805,0.025686655557610516,0.6397672112801536,0.8916878182703089,26.7239,28.4491,41.2768,Sustainability
Perniagaan Jaya 038,1265725,58,1,4,0.712394301952988,15,0.825878677458455,0.07810518692441826,0.4896627132250778,3,308.92279187025787,15,0,4,0,0.04621360164736943,0.6473825473129939,0.6314971682257399,1,0.4964499072160936,0.07405747433954035,0.574959498745537,0.2589732833844365,0.09220828723540908,0.7267865168379487,0.06570750535820435,0.5332190170340615,0.36973259702254424,47.0228,68.4958,24.1905,Equity
Perniagaan Damai 039,1329981,47,1,6,0.11546977517788792,6,0.6515296853650074,0.19798358944955796,0.2577670756051217,2,961.6802270945354,19,1,1,0,0.8117862379124127,0.9257657683843933,0.43561121595654073,0,0.8249906688797334,0.6504374450593443,0.22334126677646315,0.3943768920049199,0.052983682718296454,0.017200414559807697,0.001031128446425611,0.07792952139127529,0.20364895546506534,56.1129,34.6188,43.0809,Efficiency
Kedai Damai 040,1284654,68,0,2,0.5702394424458007,14,0.1689805892337125,0.33549672033092837,0.3938211695975993,1,904.2696357549927,29,1,3,0,0.04124347067628009,0.1636589266800993,0.7757378713126748,0,0.26650132168703333,0.8386622246243928,0.33350767624845334,0.3828287487249141,0.11414256443196602,0.22490630344294693,0.4246849674732064,0.17094609783574444,0.5474492004709918,18.2482,42.8096,28.5732,Equity
Restoran Murah 041,1366845,55,1,4,0.5683611824357746,27,0.7888217210923385,0.7958904332331344,0.8507764106400029,2,204.7139053166179,17,0,2,0,0.06873336241061234,0.7066870989711279,0.4044912351341414,0,0.031431837867619494,0.7101829810244114,0.4548814222501433,0.353431411406007,0.33739466495538484,0.5128613922588927,0.28046183318310036,0.76707068768173,0.9950977622741582,46.7373,62.7344,52.8523,Equity
Bengkel Jaya 042,1319346,32,0,3,0.6824504201904001,38,0.5042198660994027,0.1824973548428639,0.9271928737641157,5,50.0,10,1,2,0,0.549512667789216,0.04582147377553403,0.4609859077823657,0,0.17648499866267608,0.3742456584512882,0.5737361292214743,0.062191337422404236,0.6099822433730077,0.3629779585482429,0.4094542393213064,0.37749703450229455,0.443906354045253,16.9585,42.298,63.7977,Sustainability
Bengkel Bahagia 043,1267435,51,0,4,0.08539769213508108,19,0.5127146241182969,0.34664037398422465,0.11623498047732006,3,356.51384522721634,22,0,1,0,0.44284442189628304,0.5672624295060782,0.42202499704429564,0,0.08374238649191912,0.9508136998565463,0.8470700297055209,0.8627618122868201,0.8481617206570778,0.11041723649486845,0.5771998382043886,0.5584635812602216,0.47287097026101377,35.6594,13.4159,46.1499,Sustainability
Gerai Sejahtera 044,1256886,55,1,4,0.6265033072660964,37,0.3621121809808733,0.06492028819693518,0.7779606339555767,3,321.32298251689593,8,1,4,0,0.9644518886999973,0.6449885343658234,0.9965518238014319,1,0.5534606729176798,0.13584822276399333,0.4618486467457318,0.663438373264729,0.25076927388793924,0.5548967579491018,0.008320761818999989,0.8720546348848408,0.018498028856145488,33.1513,65.0601,66.883,Sustainability
Gerai Murah 045,1266803,56,1,2,0.2807519507463412,4,0.8646163648220234,0.557104344826606,0.5782271182165303,3,50.0,23,0,1,0,0.9368466549600626,0.8399228836718526,0.7701814443885253,1,0.5001351271657738,0.711529904332265,0.7689454212744423,0.7873124053346704,0.07558298177932787,0.8223017223445422,0.15842448903709172,0.15795658479227304,0.36531033010247793,51.5934,61.2301,51.4332,Equity
Kedai Setia 046,1231551,45,1,6,0.5070029904961719,26,0.31832730385579266,0.6112508881409278,0.5855027576644867,3,792.1043212608573,7,0,2,0,0.6602186636141277,0.3238320969973717,0.9287896048629495,0,0.24505158646471137,0.7180808581742243,0.11780252940026137,0.9997582681894135,0.965860023718959,0.23116299307512866,0.12768343208278865,0.17790758965617015,0.9799003253187181,26.5081,50.2801,75.3058,Sustainability
Perniagaan Jaya 047,1316216,41,1,3,0.7733235527040767,9,0.09413976066968865,0.8655164634621669,0.7794521218958264,1,166.75151629377874,18,0,1,0,0.07186742775237664,0.696693409672053,0.379646537960614,0,0.8422575431878938,0.6123470561176884,0.12977777121314327,0.48944679987015616,0.616851780312422,0.22260296254656187,0.6211695340616216,0.4056828161686824,0.4531895883799498,25.2498,75.9329,23.2204,Equity
Bengkel Murni 048,1211394,23,1,4,0.7056459363630133,15,0.3027289939719451,0.819115998501964,0.22284468678595748,5,518.8791531771514,27,1,1,0,0.5031900836358992,0.09269528334757571,0.4901687191028684,0,0.4108337981342617,0.48562029881797764,0.28818272414348955,0.13308318414252374,0.14214402047912156,0.07072049724963425,0.5911984823075476,0.6752968297954924,0.07231201267462772,16.6076,68.2258,33.547,Equity
Kedai Damai 049,1269092,50,0,6,0.11890301767799338,37,0.7153535462678857,0.2853779546838805,0.5310449679749583,2,53.507532198392035,4,1,3,0,0.045066781773713815,0.22255453549279103,0.20135774669434225,0,0.9690760368905911,0.9523113854234101,0.31819228892816764,0.8330437120236367,0.25065770224846784,0.5542826981968484,0.07754789274695839,0.1663031112916844,0.7777856585478826,28.6265,4.7561,52.8862,Sustainability
Kedai Runcit Maju 050,1203890,37,0,5,0.5911847871160733,4,0.6575818868033289,0.13695368918985973,0.3193526154508092,1,985.5740879917238,6,1,4,0,0.9079371232467436,0.7734927328855272,0.010132470411118533,0,0.23314314710608453,0.4663530285031616,0.626264138051888,0.7425754812899339,0.4186906775064977,0.4046831175150897,0.801552759223266,0.5308779679491601,0.8711583284248117,51.9447,28.6474,65.4522,Sustainability
Kedai Maju 051,1241606,57,1,6,0.9691165309407386,26,0.18801715355357784,0.15608318221040374,0.09451234497651484,4,672.1435806743832,2,1,1,0,0.65998301658398,0.8926529072926591,0.1947756126610024,0,0.622547928325811,0.3330951849389997,0.2193210772370544,0.7681859697526484,0.967375928425001,0.6319727559057193,0.16099043147264858,0.6928229147749824,0.704215317555221,38.5665,68.7647,67.0258,Equity
Kedai Runcit Damai 052,1287313,43,1,3,0.15676943733500226,18,0.11178429910494203,0.9689639430404445,0.10507944555660387,3,245.85696802956764,13,1,2,0,0.5738963195250877,0.01624896365073103,0.9289262613751649,0,0.7955097996311534,0.514915088973048,0.14133467964633495,0.16104362812811934,0.11728557163212472,0.03471656270823398,0.17303520037247522,0.30529220639959753,0.294356209752624,6.0892,51.2708,45.2865,Equity
Perniagaan Jaya 053,1341699,42,1,2,0.8529070877254149,35,0.6608657584017463,0.6732258140073574,0.13647147062515075,3,496.4360041513813,21,1,1,0,0.42790385376933626,0.16642751720285864,0.4563718285243852,0,0.18908243419041249,0.8009329998205739,0.6459165145489878,0.7546366512949164,0.42725740569423065,0.6400663318135941,0.40272954697555463,0.3524684030607659,0.3178980585309672,29.3584,84.1163,52.9031,Equity
Warung Murah 054,1208792,41,1,3,0.7025480805537769,29,0.6763768356549122,0.04257078780323931,0.614899848904838,2,103.79130946220648,12,0,4,0,0.5097168645200127,0.21016198046918189,0.13084567440421957,0,0.793260261972287,0.16301423459059194,0.9973076257314294,0.5925327245003296,0.4371977219391414,0.931794413853104,0.33196318115744927,0.8763678201940304,0.6267990000058249,27.5453,73.1019,60.9426,Equity
Gerai Damai 055,1374073,21,0,4,0.7740033129097597,24,0.3661496372105707,0.13677925504509458,0.10583019837731,3,2114.1377073310105,5,1,4,0,0.4002946301106347,0.5193883808592104,0.4525729706791154,0,0.884288647236975,0.37050422265020266,0.9920566681897156,0.050594966645647,0.9921709409962107,0.8218313958229386,0.9650551247064337,0.18094937928781885,0.7139234764032881,45.8987,40.9601,55.4295,Sustainability
Kedai Setia 056,1354969,50,1,4,0.28195832714264546,4,0.8428013835290797,0.48580006510095575,0.5701038425901735,3,795.0825217707961,19,1,2,0,0.09961403294309346,0.15417831070358745,0.7927361443890442,0,0.6677227016666715,0.5656654053916935,0.9220361696344302,0.29213772569951046,0.19273796258254583,0.3453073940488045,0.9073140458448763,0.76966907727164,0.7474633343516438,37.18,51.2783,29.4085,Equity
Perniagaan Setia 057,1268148,30,1,2,0.28788892937984245,21,0.9782052037999168,0.20782880429311978,0.5882970579772597,2,777.8064201401049,2,0,4,0,0.6609864515921954,0.9760638438022964,0.5007955755922623,0,0.8959298980674848,0.843048395263502,0.062069169203025853,0.22030169447233805,0.46837735774979716,0.11055586881338675,0.05084344662290219,0.18103954807259903,0.8762135869097694,65.7407,61.5156,68.4759,Sustainability
Kedai Jaya 058,1324243,47,0,4,0.9060194557764881,39,0.2056452234493954,0.8036589850000189,0.9038965101218911,5,83.25179213145057,11,1,2,0,0.9964108406374215,0.3878621140656012,0.9368243524869729,0,0.3924696235907045,0.400333075558857,0.7642825583434533,0.2911366122428687,0.9868585951225531,0.5384552274124935,0.39198738002472444,0.43238163870413737,0.6411221250141451,18.5665,46.2408,88.3401,Sustainability
Kedai Murah 059,1320174,65,0,3,0.35983203209255865,7,0.5770687157060284,0.5732171175693649,0.6263765963255142,1,50.0,23,1,4,0,0.112493082810464,0.1428176602200708,0.8983616762113596,0,0.40175934683930004,0.5504846902219508,0.3841699276002727,0.19978856989766625,0.6569215451695206,0.2837958486488287,0.7835805764367835,0.728952625501344,0.5795027266331965,22.0538,29.3933,27.1348,Equity
Bengkel Murni 060,1354555,51,1,3,0.06301539069281048,23,0.005346329003939165,0.6126322077892984,0.9855878408815013,5,440.186010737524,8,0,1,0,0.99418181071784,0.7742336339153303,0.47324917536335465,0,0.018431677517952938,0.12248491969806652,0.8222163870988936,0.39785683649265746,0.1650676834220618,0.010774639655356522,0.6292744088418972,0.3754254202838079,0.45684342393658384,27.4126,47.5206,70.7226,Sustainability
Gerai Jaya 061,1324358,24,0,4,0.60059670357945,21,0.7130543960262874,0.46282554804921183,0.03099257994083482,2,77.81290722499581,4,0,2,0,0.8996123502938953,0.5618114559621122,0.08295795576839815,0,0.7989810869586084,0.0941129240659403,0.04837575025885499,0.21701039529193444,0.93604255795211,0.4086604830123597,0.7716653378702336,0.07841620874699351,0.8829488551237659,38.9575,34.0239,78.223,Sustainability
Bengkel Indah 062,1248555,57,0,4,0.12481766904184266,1,0.4142821135633178,0.2560627754263155,0.7041461366451189,3,758.0499664531726,4,1,4,0,0.8941846235967309,0.914102420094161,0.7044469678677029,0,0.03311794438537985,0.2134071760565266,0.8369408136912022,0.39610433249551114,0.5427808634576546,0.5399590558645259,0.40712104856535214,0.3541453223470653,0.36821221504460344,46.7835,14.9927,47.5638,Sustainability
Perniagaan Indah 063,1217159,29,0,5,0.7965962414079082,25,0.19326922690316484,0.5894036132025465,0.02648007805304331,3,268.9923408356386,11,0,3,0,0.8312494623850896,0.9355966215288076,0.3563790634334648,0,0.2638778902585871,0.6856385885022953,0.6198115762977354,0.01658808258170763,0.8140241162508252,0.7754759263347712,0.38891309268003027,0.22859474586512785,0.2927994178717036,36.3258,36.8638,60.784,Sustainability
Perniagaan Damai 064,1310510,59,1,2,0.6417464425010574,31,0.7522219217643762,0.7169700461607318,0.7293775778747036,5,206.69389163061416,14,1,3,0,0.9235534825866492,0.8558866483265033,0.785728059207456,0,0.6202384830502516,0.21212171804994595,0.08019251947444661,0.7359331150831655,0.8060134509214454,0.9797287244458697,0.7671840352333618,0.15077544424067124,0.8398643713983078,50.1334,75.6699,85.3881,Sustainability
Kedai Sejahtera 065,1306530,65,1,4,0.8747265052212082,38,0.8106487975560807,0.3709480776301669,0.38585020920403545,4,50.0,9,0,2,0,0.24642451450457237,0.5643405831961841,0.30886818905486746,0,0.6076866083439456,0.877333590645666,0.9584424391542835,0.3470540052903439,0.5525396163773421,0.866616768185921,0.29198030517938867,0.6061079775940355,0.39148885905175224,41.7069,74.9891,50.1016,Equity
